age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,jail_length_days,out,class
19,Misdemeanor,African-American,Male,1,-10.0,9,0,1
30,Felony,African-American,Male,1,-1.0,0,0,0
39,Felony,Caucasian,Female,0,-1.0,1,0,1
24,Felony,Caucasian,Male,8,-1.0,12,1,1
30,Felony,Caucasian,Male,0,-1.0,5,0,0
31,Misdemeanor,Caucasian,Male,0,-1.0,38,1,0
39,Felony,Caucasian,Female,1,-1.0,106,0,0
43,Felony,Caucasian,Male,1,-30.0,1,0,0
21,Felony,African-American,Male,3,-1.0,6,1,1
38,Misdemeanor,Caucasian,Male,5,-1.0,2,0,1
34,Felony,Caucasian,Male,0,0.0,14,1,0
33,Felony,African-American,Male,5,0.0,0,1,1
37,Felony,African-American,Male,3,0.0,1,0,0
42,Felony,Caucasian,Male,1,0.0,0,0,1
41,Felony,African-American,Male,10,0.0,176,1,1
22,Felony,African-American,Male,0,-1.0,0,0,1
33,Felony,African-American,Male,28,-1.0,1,1,1
31,Misdemeanor,African-American,Male,1,-1.0,1,1,0
30,Felony,Other,Female,1,-1.0,1,0,0
31,Felony,Caucasian,Male,13,-1.0,471,1,1
27,Felony,African-American,Male,3,-1.0,0,1,1
52,Misdemeanor,Caucasian,Male,3,-2.0,0,1,0
33,Felony,African-American,Male,19,-1.0,0,1,1
42,Felony,Caucasian,Male,6,-4.0,-1,0,0
25,Felony,Caucasian,Female,2,-1.0,3,0,0
30,Misdemeanor,Caucasian,Male,1,-20.0,3,0,0
37,Misdemeanor,Other,Female,2,-1.0,1,0,0
28,Misdemeanor,Caucasian,Male,0,-1.0,0,0,1
24,Misdemeanor,African-American,Female,0,-1.0,2,0,0
29,Felony,Caucasian,Female,10,-1.0,7,0,1
44,Misdemeanor,Caucasian,Male,2,0.0,-1,0,1
32,Felony,African-American,Male,3,-1.0,8,1,1
31,Misdemeanor,Caucasian,Male,2,-16.0,15,0,1
31,Misdemeanor,African-American,Male,1,-1.0,1,0,1
59,Felony,Caucasian,Male,1,-1.0,0,0,1
20,Felony,African-American,Female,1,0.0,2,1,0
43,Misdemeanor,Caucasian,Female,0,0.0,0,0,0
38,Felony,African-American,Male,9,-1.0,13,1,1
32,Felony,African-American,Male,11,-2.0,1,1,1
33,Misdemeanor,African-American,Male,8,-1.0,0,1,1
31,Felony,African-American,Female,0,-1.0,1,0,1
33,Felony,African-American,Female,7,-1.0,26,1,1
27,Felony,African-American,Male,2,-1.0,1,1,1
20,Felony,African-American,Female,0,0.0,0,1,0
26,Misdemeanor,Caucasian,Female,0,-2.0,0,1,0
61,Felony,African-American,Female,1,-1.0,0,0,1
52,Felony,Other,Male,13,-1.0,1,1,1
63,Felony,Hispanic,Male,1,-26.0,14,0,0
32,Felony,African-American,Female,4,-7.0,6,1,1
29,Felony,Hispanic,Male,1,-1.0,0,0,0
26,Misdemeanor,African-American,Female,2,-1.0,0,0,1
39,Misdemeanor,Caucasian,Male,1,-1.0,3,0,0
30,Felony,Caucasian,Female,3,0.0,530,1,1
30,Felony,African-American,Male,1,0.0,70,1,0
48,Misdemeanor,Caucasian,Male,2,-1.0,0,0,0
22,Felony,African-American,Male,1,-1.0,0,0,0
46,Felony,Caucasian,Male,6,22.0,22,0,1
31,Felony,Caucasian,Male,0,0.0,2,1,0
25,Misdemeanor,African-American,Male,1,-1.0,1,0,1
23,Felony,Hispanic,Male,0,-1.0,0,0,0
32,Felony,African-American,Female,5,-1.0,1,1,0
52,Misdemeanor,Hispanic,Male,2,-1.0,3,0,0
62,Felony,African-American,Male,8,0.0,15,0,0
31,Felony,Hispanic,Male,8,29.0,117,1,1
28,Misdemeanor,African-American,Male,6,-1.0,0,1,1
54,Felony,Hispanic,Male,2,-1.0,188,0,0
58,Felony,Hispanic,Male,0,-1.0,0,0,0
78,Misdemeanor,Caucasian,Male,1,-1.0,0,0,1
56,Felony,Caucasian,Male,0,-1.0,1,0,0
24,Felony,Other,Male,0,-1.0,1,0,0
22,Felony,African-American,Male,1,0.0,0,1,1
47,Misdemeanor,African-American,Male,23,-1.0,0,1,1
23,Misdemeanor,African-American,Male,0,-1.0,1,0,1
57,Felony,Hispanic,Male,1,0.0,19,0,0
66,Felony,African-American,Male,3,-10.0,2,0,1
45,Misdemeanor,Caucasian,Male,8,0.0,71,0,1
37,Misdemeanor,African-American,Male,2,0.0,0,1,1
39,Felony,Caucasian,Male,0,0.0,0,0,1
26,Felony,African-American,Male,9,0.0,79,1,1
45,Felony,Caucasian,Male,2,-1.0,358,0,0
23,Felony,African-American,Male,0,-1.0,0,0,1
34,Misdemeanor,African-American,Male,2,0.0,25,0,1
23,Misdemeanor,African-American,Female,1,-1.0,0,0,0
36,Misdemeanor,Other,Male,2,-1.0,2,0,1
50,Felony,Caucasian,Male,1,-4.0,1,0,0
37,Misdemeanor,Caucasian,Female,0,-1.0,0,0,0
44,Misdemeanor,Caucasian,Male,4,0.0,1,0,0
35,Felony,African-American,Female,23,-1.0,2,1,1
24,Felony,Other,Male,5,-1.0,0,1,1
26,Felony,African-American,Male,2,-1.0,1,1,1
27,Misdemeanor,African-American,Male,0,-1.0,2,0,0
28,Felony,African-American,Female,0,0.0,29,1,0
28,Felony,Caucasian,Female,7,-1.0,1,1,1
38,Felony,African-American,Male,2,-1.0,1,0,0
28,Felony,African-American,Female,1,-1.0,38,1,0
56,Felony,Caucasian,Male,7,-1.0,0,0,1
38,Felony,African-American,Male,15,-1.0,1,1,0
28,Misdemeanor,African-American,Male,2,-1.0,0,1,0
51,Misdemeanor,Caucasian,Female,0,-1.0,0,0,1
51,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
36,Misdemeanor,Other,Male,1,-1.0,1,0,1
48,Felony,African-American,Male,0,-1.0,1,0,0
37,Felony,Caucasian,Male,4,0.0,1,0,1
30,Felony,African-American,Female,2,-1.0,2,1,0
41,Misdemeanor,African-American,Female,5,0.0,0,1,0
27,Felony,African-American,Male,11,-1.0,223,1,1
37,Misdemeanor,African-American,Male,0,-1.0,1,0,1
33,Felony,Other,Male,4,0.0,2,0,1
54,Felony,African-American,Male,11,-1.0,129,1,0
23,Felony,African-American,Male,2,-1.0,71,1,0
41,Misdemeanor,African-American,Male,0,0.0,0,0,0
52,Felony,Caucasian,Male,0,-1.0,0,0,0
43,Felony,Caucasian,Male,13,0.0,51,0,1
52,Felony,African-American,Male,0,-1.0,13,0,0
28,Felony,Caucasian,Male,1,-3.0,3,0,0
30,Misdemeanor,African-American,Male,11,-1.0,1,1,1
28,Felony,Caucasian,Male,1,0.0,6,1,0
22,Felony,African-American,Male,0,-1.0,0,0,0
30,Felony,African-American,Male,4,0.0,-1,0,0
25,Felony,Hispanic,Male,4,0.0,1,0,0
31,Felony,Caucasian,Male,0,-1.0,30,1,1
37,Felony,Caucasian,Male,0,-1.0,35,0,1
32,Felony,African-American,Male,14,-1.0,1,1,0
53,Misdemeanor,Caucasian,Male,1,-1.0,1,0,0
28,Felony,African-American,Male,25,29.0,25,1,1
44,Misdemeanor,Caucasian,Male,8,-1.0,4,1,1
25,Felony,African-American,Male,0,0.0,0,0,0
22,Misdemeanor,Caucasian,Male,1,0.0,5,1,1
37,Misdemeanor,Other,Female,0,-1.0,1,0,0
40,Felony,Other,Female,3,-1.0,1,0,0
31,Misdemeanor,Hispanic,Female,0,-1.0,0,0,0
23,Felony,Hispanic,Male,1,-1.0,1,1,1
23,Felony,Caucasian,Female,5,-1.0,0,1,1
24,Misdemeanor,Hispanic,Male,0,-3.0,0,1,0
29,Misdemeanor,African-American,Male,1,-1.0,0,0,0
20,Felony,African-American,Male,1,-1.0,1,1,1
30,Felony,African-American,Male,2,-1.0,1,1,1
39,Felony,Other,Male,0,-1.0,0,0,0
27,Felony,African-American,Male,4,-1.0,0,0,0
37,Felony,African-American,Female,2,0.0,0,0,0
20,Felony,African-American,Male,0,-1.0,2,1,0
22,Felony,Hispanic,Male,0,0.0,2,1,0
52,Felony,African-American,Female,0,-1.0,0,0,0
23,Felony,African-American,Female,0,-1.0,3,0,1
48,Felony,African-American,Female,0,-1.0,1,0,0
25,Felony,Caucasian,Male,0,0.0,0,1,0
27,Felony,Caucasian,Male,0,-1.0,1,1,1
30,Felony,African-American,Male,11,0.0,1,1,1
22,Misdemeanor,African-American,Male,3,-1.0,1,1,1
22,Felony,Caucasian,Female,1,-1.0,0,0,0
41,Misdemeanor,African-American,Female,2,-1.0,0,0,0
25,Felony,Other,Female,0,-1.0,0,0,0
52,Felony,African-American,Male,3,0.0,24,1,1
43,Felony,African-American,Male,0,-1.0,41,0,0
37,Felony,Caucasian,Male,3,-4.0,2,0,0
70,Misdemeanor,Caucasian,Male,1,-13.0,12,0,0
46,Felony,Caucasian,Male,3,-1.0,14,0,0
21,Misdemeanor,African-American,Male,0,-1.0,1,1,1
26,Misdemeanor,African-American,Male,1,-1.0,1,1,1
38,Felony,Hispanic,Male,3,23.0,1,0,1
34,Misdemeanor,Caucasian,Male,5,-1.0,1,0,0
34,Misdemeanor,African-American,Male,5,-1.0,0,0,0
23,Felony,Caucasian,Male,0,0.0,0,1,1
34,Felony,African-American,Male,5,-1.0,2,0,1
39,Felony,African-American,Male,6,-1.0,2,0,1
24,Felony,Other,Male,0,-1.0,1,0,0
58,Felony,Caucasian,Male,2,-1.0,1,0,0
21,Misdemeanor,African-American,Female,0,0.0,0,1,0
23,Misdemeanor,African-American,Male,4,-11.0,11,1,1
62,Felony,Caucasian,Male,0,0.0,1,0,0
37,Felony,Caucasian,Male,5,-1.0,10,0,0
43,Felony,Other,Male,2,-1.0,7,0,1
32,Felony,African-American,Female,5,0.0,-1,0,0
23,Felony,Hispanic,Male,0,-1.0,45,0,0
27,Misdemeanor,African-American,Male,0,0.0,0,0,0
44,Misdemeanor,Caucasian,Male,0,-1.0,1,0,1
28,Misdemeanor,Caucasian,Male,3,-1.0,0,0,1
42,Felony,Caucasian,Female,0,-3.0,1,0,0
24,Felony,Other,Male,9,-1.0,4,1,1
27,Felony,African-American,Male,0,0.0,17,0,0
20,Felony,African-American,Male,0,-1.0,0,1,1
51,Misdemeanor,Caucasian,Female,0,0.0,1,0,0
56,Misdemeanor,Caucasian,Male,0,0.0,1,0,0
29,Felony,African-American,Male,7,-1.0,1,1,0
20,Felony,African-American,Male,0,-1.0,209,1,1
27,Felony,Caucasian,Male,8,-1.0,68,1,0
24,Felony,African-American,Male,2,-1.0,19,1,1
53,Felony,Caucasian,Male,36,-7.0,32,1,1
28,Misdemeanor,Caucasian,Male,2,0.0,1,0,1
21,Felony,Hispanic,Male,3,-22.0,22,1,1
36,Felony,African-American,Female,0,-1.0,12,1,0
25,Misdemeanor,Caucasian,Female,2,-2.0,1,0,1
23,Misdemeanor,Hispanic,Female,1,0.0,0,0,1
28,Felony,Caucasian,Male,1,-4.0,1,1,0
21,Felony,African-American,Female,0,-1.0,1,1,1
36,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
24,Felony,African-American,Male,0,-1.0,0,0,0
30,Felony,Other,Male,1,-1.0,0,0,1
29,Felony,African-American,Male,0,-1.0,1,0,0
30,Misdemeanor,Caucasian,Female,0,0.0,3,1,0
51,Misdemeanor,Hispanic,Male,1,-1.0,1,0,0
32,Felony,African-American,Male,12,-1.0,1,1,1
23,Felony,African-American,Male,1,0.0,1,1,0
47,Felony,African-American,Male,3,0.0,0,0,0
37,Felony,Caucasian,Male,0,-1.0,19,0,0
19,Felony,African-American,Male,2,-1.0,1,1,1
27,Misdemeanor,Hispanic,Male,0,-1.0,2,1,0
39,Misdemeanor,Other,Male,0,-1.0,0,0,0
21,Felony,Caucasian,Female,0,0.0,0,1,0
69,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
21,Felony,Caucasian,Male,2,-1.0,2,1,0
26,Misdemeanor,African-American,Male,6,0.0,3,1,1
22,Felony,Caucasian,Male,0,-2.0,0,0,0
23,Felony,African-American,Female,0,-1.0,0,1,1
49,Felony,African-American,Male,3,0.0,3,1,0
29,Misdemeanor,African-American,Male,2,-1.0,50,0,1
60,Misdemeanor,Caucasian,Female,0,-1.0,0,0,0
23,Felony,African-American,Male,3,0.0,0,1,1
20,Felony,Other,Female,1,-21.0,2,0,0
36,Felony,Hispanic,Male,1,0.0,95,0,0
30,Felony,Caucasian,Male,0,0.0,1,0,0
21,Felony,African-American,Male,1,-1.0,-1,0,1
22,Misdemeanor,Caucasian,Male,2,-1.0,0,1,1
21,Felony,African-American,Male,4,-1.0,219,1,1
21,Felony,African-American,Male,0,-1.0,12,1,1
34,Misdemeanor,Caucasian,Male,1,0.0,0,0,0
50,Misdemeanor,Caucasian,Female,1,-1.0,0,0,1
40,Felony,Caucasian,Male,0,-1.0,8,1,1
25,Felony,African-American,Male,7,-1.0,127,1,1
53,Misdemeanor,Caucasian,Female,1,-1.0,0,0,0
24,Felony,African-American,Female,0,-1.0,1,0,0
42,Felony,African-American,Male,1,-12.0,4,0,0
28,Misdemeanor,African-American,Male,1,-1.0,1,0,0
26,Felony,African-American,Male,6,-1.0,1,1,1
22,Felony,African-American,Male,4,-1.0,260,1,1
21,Misdemeanor,Caucasian,Male,3,-8.0,5,1,0
37,Felony,African-American,Male,23,-1.0,17,1,1
35,Felony,African-American,Male,2,-1.0,5,1,0
53,Felony,African-American,Male,2,-1.0,0,0,0
29,Felony,African-American,Male,7,-1.0,1,0,1
48,Felony,Caucasian,Male,23,-1.0,360,1,1
52,Misdemeanor,Caucasian,Female,0,0.0,0,0,0
27,Felony,African-American,Male,12,-1.0,31,1,1
28,Felony,African-American,Male,5,0.0,51,1,1
33,Misdemeanor,Caucasian,Male,3,0.0,0,0,0
28,Felony,Hispanic,Female,0,-1.0,2,0,0
36,Felony,African-American,Male,14,-1.0,0,1,1
29,Felony,African-American,Male,2,-1.0,1,1,0
22,Misdemeanor,African-American,Male,0,0.0,21,1,1
25,Felony,Caucasian,Male,0,0.0,0,0,0
56,Felony,African-American,Male,5,-1.0,12,0,0
27,Felony,African-American,Male,9,-1.0,52,1,1
52,Felony,Caucasian,Male,4,-1.0,7,0,1
32,Felony,African-American,Male,3,0.0,1,0,0
60,Felony,Other,Male,4,-1.0,1,0,0
23,Misdemeanor,Hispanic,Male,1,-5.0,5,0,0
39,Misdemeanor,Caucasian,Female,0,-2.0,0,1,0
56,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
22,Felony,African-American,Female,0,0.0,0,1,0
53,Felony,African-American,Male,11,-1.0,110,1,0
25,Misdemeanor,Caucasian,Male,0,0.0,0,0,1
21,Misdemeanor,Hispanic,Male,0,0.0,0,0,0
22,Felony,Caucasian,Male,0,-1.0,1,0,0
58,Misdemeanor,Caucasian,Female,2,-23.0,1,0,0
31,Misdemeanor,African-American,Male,7,0.0,1,0,1
22,Felony,Caucasian,Male,1,-1.0,0,1,1
28,Felony,African-American,Male,8,-1.0,3,1,1
42,Felony,Other,Male,1,-1.0,2,0,0
20,Felony,African-American,Male,0,0.0,0,1,1
29,Misdemeanor,Caucasian,Male,0,0.0,5,1,1
58,Misdemeanor,African-American,Male,21,-1.0,59,1,1
22,Felony,African-American,Male,3,-1.0,106,1,0
48,Misdemeanor,Hispanic,Male,1,0.0,0,0,1
37,Felony,Caucasian,Male,0,0.0,0,0,0
57,Felony,African-American,Male,1,-1.0,25,1,1
27,Misdemeanor,Caucasian,Male,3,-22.0,-1,0,0
26,Felony,African-American,Male,3,0.0,33,0,0
24,Felony,Caucasian,Male,3,0.0,0,1,1
33,Felony,Caucasian,Male,0,-1.0,1,0,0
29,Felony,African-American,Male,2,-1.0,0,1,0
24,Felony,African-American,Female,3,-1.0,1,1,1
19,Felony,Caucasian,Male,1,-1.0,32,1,1
36,Misdemeanor,Caucasian,Male,2,-1.0,0,0,0
24,Felony,Caucasian,Female,0,0.0,0,1,0
34,Misdemeanor,Caucasian,Male,0,0.0,0,0,0
25,Felony,Hispanic,Male,2,-1.0,0,1,1
20,Felony,African-American,Male,1,-1.0,1,1,1
24,Misdemeanor,African-American,Male,1,-1.0,1,0,1
61,Felony,Caucasian,Male,4,-1.0,1,0,0
50,Felony,African-American,Female,3,0.0,-1,0,0
30,Misdemeanor,African-American,Male,1,0.0,4,0,0
38,Felony,African-American,Male,5,-1.0,1,0,0
24,Misdemeanor,Caucasian,Male,0,-1.0,0,0,0
46,Felony,African-American,Female,2,-1.0,9,1,1
41,Misdemeanor,Caucasian,Male,0,-1.0,3,0,1
20,Felony,Other,Male,0,-1.0,22,1,1
27,Misdemeanor,African-American,Male,13,-1.0,1,1,1
26,Misdemeanor,African-American,Male,1,-1.0,13,1,1
29,Felony,African-American,Male,3,0.0,1,1,1
52,Felony,Caucasian,Male,6,-1.0,1,1,1
28,Felony,Caucasian,Male,1,0.0,4,0,1
55,Felony,African-American,Male,5,-1.0,118,0,1
26,Felony,African-American,Male,10,-1.0,0,1,1
28,Felony,African-American,Male,5,-1.0,1,1,0
63,Felony,Caucasian,Male,2,-3.0,3,0,0
42,Felony,African-American,Male,0,0.0,1,0,0
23,Felony,African-American,Male,6,-1.0,0,1,1
54,Felony,African-American,Male,28,-1.0,5,1,1
35,Felony,African-American,Male,8,-1.0,10,1,1
24,Felony,African-American,Female,6,-1.0,26,1,1
54,Misdemeanor,African-American,Male,2,-26.0,0,0,0
58,Misdemeanor,African-American,Male,12,-1.0,3,1,1
23,Misdemeanor,Caucasian,Male,1,0.0,0,1,1
35,Misdemeanor,African-American,Male,1,-1.0,0,0,0
20,Felony,African-American,Male,1,0.0,2,1,1
51,Felony,Caucasian,Male,0,0.0,35,0,0
24,Felony,Hispanic,Male,0,0.0,1,1,0
37,Felony,Caucasian,Male,3,-14.0,6,0,0
47,Felony,Caucasian,Male,3,-1.0,0,0,0
34,Felony,Caucasian,Male,4,-1.0,1,1,1
56,Felony,Caucasian,Male,0,-2.0,0,0,0
34,Felony,Hispanic,Male,4,-1.0,31,0,1
59,Felony,Caucasian,Male,1,-2.0,0,0,1
35,Felony,Asian,Male,0,-1.0,101,1,0
58,Felony,Hispanic,Male,1,-11.0,10,0,0
29,Misdemeanor,Hispanic,Male,2,-26.0,0,0,0
24,Felony,Caucasian,Female,6,0.0,3,1,1
21,Misdemeanor,Caucasian,Male,2,-1.0,8,1,1
50,Felony,Asian,Male,5,0.0,11,1,1
26,Felony,African-American,Male,1,-1.0,1,0,0
30,Misdemeanor,Caucasian,Female,0,-1.0,1,0,0
29,Misdemeanor,Caucasian,Male,0,0.0,1,0,1
54,Misdemeanor,African-American,Male,0,-1.0,1,0,0
29,Felony,African-American,Male,4,-1.0,8,0,1
59,Misdemeanor,Caucasian,Female,0,-2.0,0,0,0
38,Felony,African-American,Male,0,0.0,1,1,0
27,Misdemeanor,Caucasian,Male,1,-1.0,1,0,1
26,Felony,Hispanic,Male,7,-1.0,1,1,1
52,Felony,Hispanic,Male,20,-1.0,27,0,0
66,Felony,African-American,Male,33,0.0,13,1,1
27,Felony,Caucasian,Male,2,0.0,0,1,0
51,Misdemeanor,Caucasian,Male,1,-1.0,1,0,0
35,Felony,Caucasian,Male,1,0.0,74,0,0
52,Misdemeanor,Caucasian,Male,4,-1.0,0,0,0
48,Felony,Other,Male,12,0.0,1,1,0
26,Misdemeanor,African-American,Female,0,-1.0,1,0,0
48,Misdemeanor,Caucasian,Female,0,0.0,0,0,0
30,Misdemeanor,Hispanic,Male,7,-1.0,37,0,0
28,Misdemeanor,Other,Male,2,-1.0,1,0,0
33,Misdemeanor,African-American,Male,2,0.0,0,0,0
34,Felony,African-American,Female,6,-1.0,52,0,0
25,Misdemeanor,Other,Male,0,0.0,-1,0,0
59,Felony,African-American,Male,10,-1.0,127,1,1
29,Felony,African-American,Male,5,-1.0,2,1,1
24,Felony,Caucasian,Male,0,0.0,1,0,0
48,Felony,Caucasian,Male,1,-1.0,129,1,1
52,Misdemeanor,African-American,Male,4,0.0,1,1,0
20,Felony,African-American,Male,0,0.0,0,0,1
25,Felony,Caucasian,Male,4,-5.0,5,0,1
24,Felony,Caucasian,Male,0,-1.0,15,0,0
23,Misdemeanor,Caucasian,Male,0,-1.0,1,1,0
27,Felony,Caucasian,Male,6,-1.0,1,0,1
25,Misdemeanor,African-American,Male,1,-1.0,0,0,1
31,Felony,African-American,Male,0,-1.0,0,0,0
25,Felony,African-American,Male,6,-1.0,4,0,1
32,Felony,Caucasian,Male,1,-7.0,0,0,1
21,Felony,Caucasian,Male,0,-1.0,-1,0,1
37,Felony,Other,Male,1,-1.0,5,0,0
25,Felony,Caucasian,Male,0,0.0,0,0,0
32,Felony,Hispanic,Male,20,0.0,0,1,0
35,Felony,African-American,Male,0,-1.0,2,1,0
42,Felony,African-American,Male,14,-1.0,1,1,1
24,Misdemeanor,Caucasian,Male,9,-23.0,10,1,1
21,Felony,Hispanic,Male,0,-1.0,0,1,1
47,Misdemeanor,Caucasian,Male,1,0.0,0,0,0
27,Felony,African-American,Male,5,-1.0,1,1,1
43,Misdemeanor,Hispanic,Male,2,-12.0,4,0,1
46,Felony,Caucasian,Male,2,-1.0,0,1,1
44,Misdemeanor,African-American,Male,1,0.0,0,0,0
23,Felony,Caucasian,Male,2,-1.0,0,0,0
42,Felony,African-American,Male,8,-1.0,1,1,0
58,Felony,African-American,Male,6,-1.0,144,1,0
26,Felony,African-American,Male,3,-1.0,1,1,1
48,Felony,Other,Female,0,-1.0,17,0,0
39,Felony,African-American,Male,3,-1.0,3,0,1
21,Felony,African-American,Male,3,0.0,-1,1,1
63,Misdemeanor,Caucasian,Male,1,-9.0,5,0,0
22,Felony,African-American,Male,3,-11.0,7,1,1
50,Misdemeanor,African-American,Male,3,-1.0,0,0,0
38,Felony,African-American,Male,0,-1.0,9,0,0
41,Felony,Caucasian,Male,1,-6.0,6,1,0
28,Felony,African-American,Male,16,-1.0,1,1,1
30,Misdemeanor,African-American,Female,0,0.0,1,0,0
23,Felony,African-American,Male,1,0.0,0,1,0
25,Felony,Caucasian,Male,2,-13.0,12,0,1
40,Felony,Caucasian,Male,5,0.0,0,0,0
24,Felony,Hispanic,Male,8,0.0,-1,1,0
27,Misdemeanor,African-American,Male,5,0.0,64,0,1
44,Misdemeanor,Caucasian,Male,11,0.0,180,0,0
35,Felony,African-American,Female,6,-1.0,1,0,1
42,Misdemeanor,Caucasian,Male,0,0.0,0,0,0
38,Felony,African-American,Male,15,0.0,0,1,1
26,Felony,Hispanic,Male,4,0.0,-1,1,0
25,Misdemeanor,African-American,Female,0,-1.0,0,0,0
64,Felony,Hispanic,Male,1,-8.0,7,0,0
49,Misdemeanor,Caucasian,Female,2,0.0,0,0,1
50,Felony,Caucasian,Male,5,-1.0,1,0,1
66,Misdemeanor,Caucasian,Male,0,0.0,0,0,1
46,Misdemeanor,Caucasian,Female,0,-1.0,1,0,0
30,Felony,African-American,Male,5,-1.0,1,1,1
22,Misdemeanor,Caucasian,Female,0,0.0,-1,0,0
23,Misdemeanor,Caucasian,Male,1,-1.0,9,0,0
30,Misdemeanor,Other,Male,0,-1.0,1,1,1
